C:\Anaconda\envs\tensorflow\python.exe G:/Projekte/GitHub/TensorFlow/TensorFlow/traicy/cnn/DEBUG.py
Tue Apr 24 18:28:41 2018    restats

         3466457 function calls (3324954 primitive calls) in 4.748 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:46(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:102(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:61(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:24(GimpPaletteFile)
       10    0.000    0.000    0.000    0.000 Image.py:1200(getdata)
       20    0.000    0.000    0.000    0.000 Image.py:1936(seek)
        1    0.000    0.000    0.000    0.000 Image.py:2226(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2231(ImageTransformHandler)
       10    0.000    0.000    0.000    0.000 Image.py:2492(_decompression_bomb_check)
       10    0.000    0.000    0.010    0.001 Image.py:2512(open)
       10    0.000    0.000    0.001    0.000 Image.py:2556(_open_core)
        6    0.000    0.000    0.000    0.000 Image.py:2689(register_open)
        1    0.000    0.000    0.003    0.003 Image.py:27(<module>)
        5    0.000    0.000    0.000    0.000 Image.py:2704(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:2715(register_save)
        2    0.000    0.000    0.000    0.000 Image.py:2726(register_save_all)
       12    0.000    0.000    0.000    0.000 Image.py:2738(register_extension)
        3    0.000    0.000    0.000    0.000 Image.py:2748(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:2858(_apply_env_variables)
       10    0.000    0.000    0.000    0.000 Image.py:286(_conv_type_shape)
       10    0.000    0.000    0.009    0.001 Image.py:358(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:36(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:39(DecompressionBombError)
       10    0.000    0.000    0.000    0.000 Image.py:418(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:42(_imaging_not_installed)
       10    0.000    0.000    0.000    0.000 Image.py:440(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:469(_E)
        1    0.000    0.000    0.000    0.000 Image.py:504(Image)
       10    0.000    0.000    0.000    0.000 Image.py:519(__init__)
       10    0.000    0.000    0.000    0.000 Image.py:586(__del__)
       10    0.000    0.000    0.000    0.000 Image.py:660(__array_interface__)
       10    0.000    0.000    0.000    0.000 Image.py:696(tobytes)
       30    0.000    0.000    0.000    0.000 Image.py:794(load)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
       20    0.000    0.000    0.000    0.000 ImageFile.py:130(load)
       10    0.000    0.000    0.000    0.000 ImageFile.py:259(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:291(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:321(Parser)
       10    0.000    0.000    0.000    0.000 ImageFile.py:522(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:546(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:558(PyDecoder)
       10    0.000    0.000    0.000    0.000 ImageFile.py:66(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:75(ImageFile)
       10    0.000    0.000    0.001    0.000 ImageFile.py:78(__init__)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:103(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:117(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:131(ModeFilter)
